sizes,avg_time,std_time,allocation_times_avg,allocation_times_std,execution_times_avg,execution_times_std,io_times_avg,io_times_std
16,0.0010164,6.59e-05,6.7186e-06,1.2727341592021485e-06,0.0005274064999999999,0.00010364876491232301,5.4095800000000005e-05,1.046334019135381e-05
32,0.002582,0.000104,2.68297e-05,3.5352735127568285e-06,0.0020571565,0.00024896396739016265,6.52198e-05,9.101832923098512e-06
64,0.008792,0.000466,0.0001012212,2.2633472702172772e-05,0.0081316052,0.0013436325377952708,0.00012828659999999999,2.634985455823239e-05
128,0.027905,0.000248,0.0004548085,1.37448362103737e-05,0.0267159989,0.0007342255004098475,0.0002640333,7.429155766976491e-06
256,0.095778,0.000195,0.001967651,2.2875031414186035e-05,0.09226391989999999,0.0006450216672454427,0.0009383416000000001,1.2671200678704441e-05
512,0.36655,0.000258,0.0081664106,5.723720635775291e-05,0.3538336008,0.0007016644295552934,0.0036403734999999994,1.3352454742480847e-05
1024,1.448037,0.000704,0.0253092451,0.000849703316405962,1.4061221091999998,0.0018447311887959538,0.0145344282,3.3886296362394105e-05
2048,5.79556,0.00336,0.088044269,0.001100217161063851,5.6287292744999995,0.009390730882607251,0.0716156362,0.0018887827483172219
4096,23.1829,0.0221,0.3350722255,0.0008582980143332786,22.5019261776,0.03657653227553551,0.3251054739,0.04108854645886851
8192,92.7741,0.0567,1.3201196578999999,0.0018216671406557788,90.0696302625,0.16143759553545597,1.3145249320999999,0.0391056879227475
