,avg_time,std_time,sizes,threads
0,0.0011569,3.62e-05,16,1
1,0.0029184,9.99e-05,32,1
2,0.008808,0.000241,64,1
3,0.024996,0.000247,128,1
4,0.085442,0.00025,256,1
5,0.323733,0.00028,512,1
6,1.280199,0.00075,1024,1
7,5.12928,0.00545,2048,1
8,20.47972,0.00737,4096,1
9,81.7628,0.0135,8192,1
10,0.001165,0.000172,16,2
11,0.0017117,7.81e-05,32,2
12,0.004985,0.000177,64,2
13,0.015817,0.000448,128,2
14,0.050362,0.000466,256,2
15,0.186832,0.000261,512,2
16,0.721655,0.000739,1024,2
17,2.88311,0.00491,2048,2
18,11.51072,0.0063,4096,2
19,46.0099,0.0199,8192,2
20,0.002759,0.000445,16,4
21,0.002211,0.000473,32,4
22,0.004077,0.000554,64,4
23,0.008961,0.000413,128,4
24,0.028833,0.00028,256,4
25,0.103958,0.000382,512,4
26,0.39388,0.00102,1024,4
27,1.55842,0.0042,2048,4
28,6.17184,0.00587,4096,4
29,24.61376,0.00551,8192,4
30,0.0014586,4.79e-05,16,8
31,0.0021106,5.33e-05,32,8
32,0.0039634,7.7e-05,64,8
33,0.008267,0.000345,128,8
34,0.025444,0.00028,256,8
35,0.084267,0.000406,512,8
36,0.30207,0.00166,1024,8
37,1.146329,0.00088,2048,8
38,4.4786,0.0104,4096,8
39,17.6449,0.0106,8192,8
40,0.002146,0.000118,16,16
41,0.0030971,9.03e-05,32,16
42,0.005514,0.000177,64,16
43,0.011214,0.00042,128,16
44,0.030382,0.000223,256,16
45,0.093966,0.000504,512,16
46,0.319399,0.000552,1024,16
47,1.18482,0.0012,2048,16
48,4.54909,0.00444,4096,16
49,17.79065,0.00802,8192,16
50,0.003355,0.000135,16,32
51,0.005352,0.000287,32,32
52,0.009926,0.000514,64,32
53,0.020765,0.000889,128,32
54,0.043541,0.000668,256,32
55,0.12218,0.00168,512,32
56,0.36887,0.00141,1024,32
57,1.29474,0.00267,2048,32
58,4.75596,0.00589,4096,32
59,18.2773,0.0378,8192,32
